Headline,Category
"В Омске простились со студентом, которого убили сверстники",Общество
Михалков анонсировал взимание в РФ процента от проката зарубежного кино,Культура
Экстремально высокая температура ожидается на матчах 1/16 финала ЧМ в США,Погода
Новый премьер-министр Литвы. Карьера Миндаугаса Синкявичюса,Культура
В Запорожье горит объект промышленной инфраструктуры,Политика
Таможня РФ сообщила об очередях в Эстонии из желающих попасть в Россию,Политика
Минфин 1 июля проведет аукцион по размещению ОФЗ одного выпуска,Экономика
Запатентован отечественный ферментный препарат для снижения затрат в животноводстве,Политика
Акционеры ВТБ одобрили дивиденды в размере 25% от прибыли,Экономика
МИД Украины уточняет гражданство у пострадавшего от взрыва в Монако Ермолаева,ЧП
Эксперт Белова ждет цен на нефть до конца лета в диапазоне $70-80,Экономика
Молдавия получит более 100 канадских бронеавтомобилей Roshel на грант ЕС,Политика
В Дагестане завели дело после нанесения травм ребенку в детсаду,Общество
"ВОЗ назвала жару в Европе ""генеральной репетицией"" будущих суровых летних сезонов",Экономика
"Карта Совкомбанка с кешбэком на все заняла первое место в исследовании ""Сравни""",Наука
"Очевидец рассказала о ""продавцах мест"" в очередь на границе России и Эстонии",Политика
В Запорожье произошли взрывы,ЧП
"Совкомбанк стал партнером благотворительного забега ""Самое время жить""",Политика
АКОРТ: говорить о прямом переносе роста цен на топливо в стоимость продуктов рано,Экономика
"Участники ""Города героев"" возложили венки к мемориалам освободителям Белоруссии",Политика
"Плановый объем размещения ОФЗ в III квартале составит 1,5 трлн рублей",Экономика
ООН: открытие Ормузского пролива не означает окончания экономического шока,Наука
В Горловке дрон ВСУ атаковал машину коммунальщиков,Конфликты
"Во Владимирской области учредили медаль ""За содействие СВО""",Спорт
Подготовка кадров для промышленности Ростовской области,ЧП
Ограничения на продажу топлива в Севастополе продлятся около месяца,Экономика
Глава ВОЗ сообщил о вспышке холеры в Судане,Политика
"Смоленск принял марафон ""Города герои - города героев"" России и Белоруссии",Политика
"Fox: часть американцев считает, что США провозгласили независимость от Мозамбика",Политика
Депутат Чемерис: Запад не хочет реагировать на гибель детей в РФ при ударах ВСУ,Конфликты
Дарья Борисова: детей стоит привлечь к марафону о подвигах народного ополчения,Общество
В СК опровергли версию ухода Усольцевых по скрытой тропе в Кутурчине,ЧП
В Екатеринбурге врачи удалили пациентке кисту объемом почти 2 литра,Общество
Львовская трагедия: как в 1941 году гитлеровцы и бандеровцы вместе расправились с евреями,ЧП
В горной части Ингушетии кабельные ЛЭП меняют на воздушные,ЧП
В Астрахани после заражения сальмонеллезом в больнице находятся 18 человек,Общество
ТАСС: в Челябинской области осудили экс-замминистра дорожного хозяйства Харченко,ЧП
Решетников отметил сложность привлечения зумеров на рынок труда,Общество
UBS Group AG: число миллиардеров в мире достигло рекордных 3 302 в 2025 году,Культура
"Костин: Горшков из ""WB банка"" возвращается в ВТБ курировать розницу",Экономика
Решетников: интеллект человека все равно необходим при активном применении ИИ,Политика
Сенатор Никонорова: спонсоры Киева ответственны за гибель младенца в Подмосковье,Политика
В Сумах начались перебои с водой из-за отключений электричества,ЧП
В Новгородской области объявили опасность БПЛА,ЧП
Призыв снижать ключевую ставку и отыгравший свою роль ЕГЭ. Заявления Грефа,Экономика
В Забайкалье завершили обучение первого потока кадрового проекта для участников СВО,Общество
Минпромторг держит на контроле ситуацию с наличием топлива у ретейлеров,Политика
Хинштейн: общий объем инвестиций в СЭЗ в Курской области составит более 245 млрд рублей,Экономика
Жителя Воронежской области осудили за развратные действия с ребенком,Общество
"В базу ""Миротворца"" внесли координатора Всемирного дома Толстых",ЧП
Dziennik Gazeta Prawna: Навроцкий собирается ограничить контакты с Зеленским,Политика
В Иркутске пресекли спекулятивные продажи бензина,Экономика
"""Сколково"" представит на Иннопроме внедренные в российскую промышленность технологии",Политика
Straits Times: Сингапур резко повысит тарифы на газ из-за конфликта вокруг Ирана,Экономика
"Критик Бабичев связал популярность ""Седой ночи"" с интересом к ретро-эстетике",Политика
"Героя России Головина переизбрали начальником главного штаба ""Юнармии""",Политика
В Брянской области разрешили продажу топлива в канистры в приграничье,ЧП
Прокуратура Подмосковья открыла горячую линию для пострадавших при атаке БПЛА,Конфликты
"В ""Офицерах России"" заявили о необходимости создания госоргана по делам ветеранов",Политика
В Саратове мужчину осудили за передачу данных украинским спецслужбам,Политика
В Эстонии создали новый командно-тактический центр НАТО,Политика
"АФК ""Система"" заключит финансовый договор более чем на 300 млрд рублей с инвесторами",Экономика
Хинштейн доложил о выполнении поручений Путина по расширению мер поддержки переселенцев,Политика
"Решетников призвал не превращать в ""фетиш"" макроэкономические показатели",Политика
"""Авангард"" расторг контракт с обладателем Кубка Гагарина Блажиевским",Спорт
Партия SPD намерена добиваться лишения Зеленского высшего ордена Чехии,Политика
ТАСС: водителя автобуса после ДТП в Кузбассе доставили в больницу,Транспорт
В Подмосковье у водителя каршеринга изъяли более 1 кг наркотиков,Общество
"Мишустин рассказал, как закрывается потребность в кадрах",Политика
Решетников заявил об охлаждении рынка труда,Политика
В Батайске завели дело после гибели двоих детей при пожаре,ЧП
ВТБ может снова рассмотреть вопрос открытия банка в Иране,Наука
Мишустин указал на рост производительности труда в I-м квартале,Политика
"Российские специалисты ударили по боевикам из Судана, напавшим на город в ЦАР",Конфликты
"Футбольных болельщиков ЦСКА оштрафовали за баннер с оскорблениями ""Спартака""",Спорт
"""Спартак"" объявил об уходе футболиста Заболотного",Спорт
Число выявленных на финрынке в СФО офлайн-нелегалов удвоилось в начале года,Политика
Иран начнет обсуждать с США итоговое соглашение после реализации меморандума,Политика
"""Яндекс"" сообщал о трудностях с доступом к некоторым своим сервисам",Политика
"Настоящая ""История Латвии""",Политика
"Доля ""Макса"" в медиапокрытии российских брендов выросла почти втрое",Общество
Хинштейн: мнение жителей ляжет в основу мастер-планов восстановления приграничья,Общество
На Запорожье связали вспышки сибирской язвы до 2014 года с биолабораториями США,Политика
Число пострадавших из-за атаки БПЛА в Егорьевске возросло до четырех,Конфликты
Куренков: в Таджикистане планируют создать центр гуманитарного реагирования ОДКБ,Конфликты
"""Мечел"" не выплатит дивиденды за 2025 год",Общество
"Variety: в США режиссера ""47 ронинов"" приговорили к 2,5 года тюрьмы",Культура
В Кузбассе после ДТП с автобусом завели второе дело,Транспорт
"В Якутии заявили, что в республике сформированы достаточные запасы топлива",Экономика
ЕК: Украина не успевает осваивать военное финансирование Евросоюза,Экономика
Мирный житель Горловки ранен после удара дрона ВСУ,Конфликты
В Нижегородской области отменили беспилотную опасность,ЧП
Путин поддержал строительство центра адаптивных видов спорта в Курске,Политика
"Заммэра Ликсутов: проход через виртуальную ""Тройку"" в Москве стал быстрее",Спорт
Захарова: современная французская политика утратила собственную волю,Политика
ЕС с 1 июля введет в действие торговое соглашение с США о пошлинах в 15%,Политика
В Крыму будут работать допбригады муниципальных служащих для энергораспределения,Общество
"""Украинская правда"" увязала покушение на Ермолаева с мошенническими кол-центрами",Политика
Мишустин назвал повышение эффективности труда резервом для роста экономики,Экономика
Во Владимирской области отменили беспилотную опасность,ЧП
В Прикамье на ребенка напал медведь,Общество
Захарова: в Париже не удосужились объяснить назначение оружия для Киева,Политика
В ДНР приговорили к 14 годам примкнувшего к ВСУ наемника из Грузии,Конфликты
Захарова: Париж вооружает неонацистов,Политика
"В Москве начали реставрацию фасадов здания комбината газеты ""Правда""",Политика
Аэропорт Череповца обслуживает рейсы по согласованию,Транспорт
Тегеран и Доха 1 июля могут начать обсуждение разблокировки иранских активов,Политика
Опрошенные в Польше украинцы заметили ухудшение отношений с поляками,Политика
В Севастополе загорелся лес после падения дронов ВСУ,Конфликты
Хинштейн: запуск энергоблока Курской АЭС-2 позволит создать запас мощности,Конфликты
Х5 выплатит дивиденды за 2025 год в размере 245 рублей на акцию,Экономика
Бастрыкин потребовал доклад об инциденте в частном детсаду Подмосковья,Общество
Хинштейн рассказал Путину о героизме аграриев в приграничье Курской области,Политика
В Жуковском сняли ограничения,Транспорт
Еврокомиссия исключает возможность возвращения ЕС к российскому газу,Экономика
В Кузбассе после ДТП с автобусом завели дело,Транспорт
Более 150 тонн помощи передали бойцам СВО в Ростовской области при участии ОНФ,Конфликты
Решетников: РФ была на очень высоком уровне инвестиций,Экономика
В Башкирии нефтеперерабатывающие заводы увеличили выпуск топлива на 10%,Экономика
В Подмосковье арестовали четырех обвиняемых в отравлении людей наркотиками,Политика
"В Курской области на развитие АПК в 2025 году направили 6,7 млрд рублей",Экономика
В Подмосковье мужчину приговорили к 18 годам колонии за госизмену,Культура
Несовершеннолетние дети ветеранов СВО получат право на участки в Ярославской области,Общество
В РАН зафиксировали на Солнце гибель неизвестной кометы,Политика
Хинштейн рассказал о решении проблемы выделения земель для восстановления жилья,Общество
В World Gymnastics оценивают письмо 11 федераций по вопросу россиян,Спорт
В Батайске при тушении пожара в доме нашли тела двоих детей,ЧП
Sky: пассажирский самолет столкнулся с беспилотником при посадке в Нью-Йорке,Транспорт
Хинштейн: пострадавшим от ВСУ курянам выдали более 16 тыс. жилищных сертификатов,Конфликты
Токаев поделился с Путиным впечатлениями от своего визита в Брюссель,Политика
"Мерц: сборная Германии не заслуживает насмешек, несмотря на неудачу на ЧМ",Спорт
Аксенов рассказал о ситуации с топливом в Крыму,Политика
Лантратова и представитель МККК обсудили возвращение пленных и поиски пропавших,ЧП
"Приехали Путин, Медведев, Володин, Матвиенко, Лавров. Прощание с Сергеем Ивановым",Политика
Эксперт Минаков: доля отечественного оборудования на объектах КИИ превысила 60%,Политика
Гехт отметила центральную роль женщины в сохранении традиций народов Севера,Политика
Любимова: около 11 тыс. учреждений культуры на Севере модернизируют к 2032 году,Общество
Акции оборонных компаний Британии дорожают после слов Стармера об инвестициях,Экономика
Фрукты и овощи необходимо мыть специальными средствами. Это правда?,Политика
Бабушкин: нефтебазы в Астраханской области накапливают запас топлива минимум на пять дней,Экономика
Педагоги-наставники и методисты в Томской области начнут получать доплаты с 1 сентября,ЧП
"Захарова: Берлин занят политическими авантюрами, пока экономика ФРГ терпит крах",Экономика
"Разработана культура клеток, ускоряющая регенерацию сосудов сетчатки",Политика
"Эксперт Литвинов: женщины после 40 лет переносят жару хуже, чем ровесники-мужчины",Общество
Греф назвал ЕГЭ отыгравшим свою роль инструментом,Политика
В Кисловодске экс-директора техникума осудили за хищение более 5 млн рублей,Экономика
"На фестивале ""Выше звука"" в трех регионах СКФО запланировали более 50 событий",Культура
Руководители двух пунктов проведения ЕГЭ в КЧР стали фигурантами дела о взятках,Общество
На Байконуре начались испытания нового грузового космического корабля,Политика
"Сенатор Мурог объяснил, как следует регулировать рынок репетиторов",Политика
FT: всемирный банк отказался от климатической цели под давлением США,Экономика
Расследование дела обвиняемого в нарушении ПДД экс-судьи Мосгорсуда завершили,Политика
После взрыва в Монако один человек остается в критическом состоянии,ЧП
"ЦБ выпустит пять памятных монет, посвященных спортивным клубам РФ",Спорт
Двое пострадавших в ДТП с автобусом в Кузбассе находятся в тяжелом состоянии,Транспорт
"Сообщивший о коррупции в окружении Санду политик Галбур заявил, что ему угрожают",Политика
"Всероссийская социальная кампания ""Продвижение безопасности""",Политика
90-летие Госавтоинспекции,Политика
"""Ростелеком"" направит на дивиденды за 2025 год 9,46 млрд рублей",Экономика
ТАСС: еще один транспортный самолет улетел с Украины в Европу через Кишинев,Транспорт
"Путин: инвестактивность в Курской области растет, несмотря на сложную ситуацию",Политика
"""Аэрофлот"" расширит время завтраков на борту с 1 июля",Транспорт
Додон: в Молдавии репрессиями против оппозиции хотят отвлечь внимание от коррупции,Политика
Дегтярев: аудит Российского антидопингового агентства должен пройти в 2026 году,Общество
"Эксперт Максимова рассказала, когда в РФ ожидается рост спроса на жилье",Общество
МИД Катара назвал мирное урегулирование лучшей гарантией безопасности в регионе,Политика
"Euractiv: США могут продать Турции F-35 при передаче ее С-400 ""третьей стране""",Политика
WP: контракт на строительство бального зала заключен Белым домом без торгов,Политика
"Костомаров заявил, что Дмитриев был сильным и мудрым человеком",Политика
В Литве назвали расширение ЕС одним из приоритетов председательства страны,Политика
Парламент Венгрии ликвидировал Управление по защите суверенитета,Политика
В ВТБ ожидают среднюю ключевую ставку в 10-11% в 2027 году,Экономика
Сейм Литвы утвердил премьером лидера социал-демократов Миндаугаса Синкявичюса,Культура
Экс-премьер Польши: ЕС хочет отказаться от принципа единогласия при принятии Украины,Политика
"В BSW заявили, что Мерц ""утратил связь с реальностью"" после поста о сборной ФРГ",Спорт
"Фон дер Ляйен и Кубилюс разошлись на €100 млн, сообщив о транше на дроны Киеву",Конфликты
"В ВТБ сообщили о переговорах с РВБ ""по нескольким чувствительным моментам""",Политика
Планетарный жар: придет ли в Россию экстремальная погода из Европы?,Погода
В Белгородской области мужчина пострадал из-за детонации БПЛА,ЧП
ВТБ не рассматривает присоединение WB банка в краткосрочной перспективе,Экономика
Сергея Иванова похоронили на Троекуровском кладбище,Политика
ТАСС: четверо пострадавших в ДТП в Кузбассе находятся в тяжелом состоянии,ЧП
Карапетян заявил о тайном плане армянской оппозиции по смещению Пашиняна,Политика
В Катаре заявили о продолжении усилий по воссоединению российских и украинских детей,Общество
В Вологодской области объявили беспилотную опасность,ЧП
"КС разъяснил, когда скрывшегося обвиняемого могут арестовать",Политика
В ДТП в Хакасии погибли три человека,ЧП
"Лукашенко рад, что его сын стал биотехнологом в Пекинском университете",Политика
