Headline,Category
"МИД Украины пригрозил Польше ""недружественными зеркальными шагами""",Политика
В Ингушетии в ДТП пострадали семь человек,ЧП
"Прыгунья Конева стала 44-й россиянкой, сумевшей выполнить норматив на ЧЕ-2026",Спорт
Рейс считает важным включение Энрике и Сантоса в состав бразильцев на ЧМ,Спорт
В центре Омска девять театров представили спектакли под открытом небом,Культура
"Экс-президент Польши назвал конфликт между Навроцким и Зеленским ""войной за медали""",Политика
"ЧП с пострадавшими детьми. Главное о нападении на лагерь ""Орленок"" в Туве",ЧП
На Солнце произошла сильнейшая за три недели вспышка,Наука
Нападение на посетителей ТЦ. Главное о ЧП в Краснодаре,ЧП
В Туве проведут внеплановую проверку всех детских лагерей,Общество
В Севастополе сбили еще четыре БПЛА,Конфликты
"Передвижной музей ""Поезд Победы"" открыл двери для жителей Бреста",Культура
Sky: глава МИД Великобритании попросила Стармера подать в отставку,Политика
Учредителя детского лагеря в Туве обязали усилить меры безопасности,Общество
В Ровно произошли взрывы,ЧП
В Сириусе объявили угрозу атаки БПЛА,ЧП
Бразильский футболист ЦСКА Рейс назвал главную сенсацию чемпионата мира,Спорт
Ветер и боль в пояснице помешали Лысенко прыгнуть выше на Кубке России,Спорт
В жилом доме Омска обрушился потолок,ЧП
В селении Троицкое Ингушетии обследуют шлюз в поисках пропавшего мальчика,ЧП
В Белгородской области утвердили дату выборов губернатора региона,Политика
"Футболист ЦСКА Рейс надеется, что сборная Бразилии выиграет чемпионат мира",Спорт
В Сочи объявили угрозу атаки БПЛА,ЧП
Пострадавшие от нападения в ТЦ Краснодара отказались от госпитализации,ЧП
Российский дзюдоист Бифов выиграл серебро на турнире Большого шлема,Спорт
Жителей Крыма просят отключить кондиционеры на время ликвидации аварии в сетях,ЧП
Ушаков: одна из сторон оказалась не в состоянии выполнить договоренности Анкориджа,Политика
Котяков: в России процесс получения пенсий станет автоматическим,Общество
В аэропорту Сочи ввели временные ограничения,Транспорт
"МО показало кадры уничтожения боевиков ВСУ, отходящих из Красного Лимана",Конфликты
В Туве завели уголовное дело после отравления 15 человек в кафе,ЧП
Иран не намерен переходить к следующему этапу переговоров без перемирия в Ливане,Политика
Гросси провел встречу с главой МИД Швейцарии,Политика
Посол РФ: РЖД сыграют важную роль в транспортной инфраструктуре Сербии,Транспорт
Первый после снятия блокады США контейнеровоз прибыл в иранский порт,Экономика
Число отравившихся в кафе Тувы выросло до 15,ЧП
"Чесноков считает, что россиянам будет тяжело на Уимблдоне",Спорт
"ВКС России уничтожили до 30 солдат ВСУ, отходящих из Красного Лимана",Конфликты
Футболист Мойзес начнет сборы ЦСКА с ограничениями,Спорт
Обезвредивший напавшего с ножом в ТЦ Краснодара получит премию Кеосаяна,Общество
ВС РФ продвигаются в северо-западной части Красного Лимана,Конфликты
Средства ПВО РФ за сутки сбили 483 украинских беспилотника,Конфликты
В ЦСКА назвали вероятным восстановление Акинфеева к началу сезона РПЛ,Спорт
В горах Кабардино-Балкарии эвакуировали туристку из Подмосковья с травмой ноги,ЧП
"ВС РФ уничтожили склад ВСУ с дронами-""камикадзе"" у Запорожья",Конфликты
В Ровненской области произошли взрывы,ЧП
ВСУ в Константиновке за сутки потеряли до 85 солдат,Конфликты
WSJ: Polymarket платит блогерам за демонстрацию якобы успехов в своих видео,Экономика
ВС РФ поразили объекты нефтепереработки и ТЭК Украины,Конфликты
ВСУ потеряли за сутки около 1 450 военных на всех участках СВО,Конфликты
ВС РФ продолжают ликвидацию групп ВСУ в юго-западной части Константиновки,Конфликты
В Киеве произошли взрывы,ЧП
Вучич: строящийся при участии РЖД диспетчерский центр повысит безопасность движения,Транспорт
ВС РФ уничтожили четыре безэкипажных катера ВСУ в юго-западной части Черного моря,Конфликты
Федерации дзюдо России и Монголии подписали соглашение о сотрудничестве,Спорт
В Британии опровергли сообщения о приеме украинских беженцев в армию королевства,Политика
На Алтае открылся самый большой парк аттракционов в Сибири,Общество
Сенатор Косихина призвала повышать цифровую грамотность детей с раннего возраста,Общество
"Ушаков: Запад должен учитывать, что ВС РФ постоянно продвигаются вперед",Политика
По всей Украине объявили воздушную тревогу,Конфликты
В ДНР за неделю обезвредили почти 130 дронов ВСУ,Конфликты
Лавров: в ЕС пытаются сбить США на тактику прекращения огня для передышки ВСУ,Политика
ВКС РФ бомбами ФАБ и ракетой Х-39 уничтожили пункты управления БПЛА ВСУ,Конфликты
В Израиле выявили второго пациента с подозрением на Эболу,Наука
Путин на неделе проведет совещание по развитию авиаотрасли,Транспорт
Движение по трассе М-12 под Ревдой ограничили из-за ДТП с грузовиком,Транспорт
Развожаев: в Севастополе включают объекты генерации после аварии,ЧП
Пострадавшим от нападения в лагере Туве оказывается психологическая помощь,Общество
В трех районах Крыма из-за отсутствия света обесточены насосные станции,ЧП
В Таре Омской области ввели режим ЧС из-за аварии на насосной станции,ЧП
"В Приамурье состоится второй ""Амурагрофорум""",Экономика
В Туве в кафе Ак-Довурака отравились восемь человек,ЧП
"Посол РФ в Нидерландах почтил память красноармейцев на ""Советском поле славы""",Культура
В Минске рассказали о состоянии пострадавших от атаки ВСУ под Брянском,Общество
МИД Ирана: переговоры с США в Швейцарии пройдут одним днем,Политика
ТАСС: переговоры США и Ирана в Бюргенштоке начнутся после обеда,Политика
Мирошник: конфликт с Польшей из-за ордена будет препятствием на пути Украины в ЕС,Политика
Подвергшийся нападению детский лагерь в Туве охранялся сторожами,Общество
Заммэра Ракова поздравила столичных медработников с профессиональным праздником,Общество
Fars: Ормузский пролив остается закрытым для судоходства,Политика
В Норильске прошел матч звезд в честь 20-летия победы ЦСКА в Евролиге,Спорт
Проникший в лагерь в Туве навредил двум детям,ЧП
Рапирист Бородачев немного разочарован бронзой чемпионата Европы,Спорт
"Рейтинг правительства Японии опустился до минимальных для Такаити 55,8%",Политика
"Белгородские медики в 2025 году спасли около 1,3 тыс. пострадавших от атак ВСУ",Общество
Пасечник: в ЛНР утвердили программу модернизации медицины на 13 млрд рублей,Общество
В России наступило астрономическое лето,Погода
World Athletics оперативно утвердила рекордный результат россиянки Кнороз,Спорт
Делегация из Белоруссии посетила пострадавших из-за атаки ВСУ под Брянском,Политика
В Севастополе саперы обезвредили упавший на дом беспилотник ВСУ,ЧП
FT: первой темой переговоров Ирана и США станет урегулирование ситуации в Ливане,Политика
На подходах к Крымскому мосту скопились 650 автомобилей,Транспорт
В Пятигорске предотвратили резонансные преступления по заданию украинского режима,ЧП
"Проект Москвы ""Перезвони сам"" против мошенников вызвал интерес в других городах",Общество
Пострадавшим от атаки ВСУ на Керченский полуостров оказывают помощь,Общество
"Подростка, подозреваемого в убийстве девочки, могут увезти из Приморья для перевоспитания",ЧП
Собянин поздравил московских медиков с профессиональным праздником,Общество
В Туве проводится проверка после отправления людей в кафе,ЧП
В Минздраве рассказали о состоянии пострадавших от атаки ВСУ в Крыму,Общество
Тангара после возвращения из США испытывала проблемы со здоровьем,Спорт
"Игра евроэлит в ""переговоры с Россией"": зарисовки брюссельского серпентария",Политика
В Севастополе из-за упавшего дрона ВСУ эвакуируют жильцов жилого дома,ЧП
Делегации США и Ирана прибыли на переговоры в Бюргеншток,Политика
Пострадавшие от нападения в лагере Туве чувствуют себя удовлетворительно,Общество
Гимнастка Ильтерякова выиграла этап Кубка вызова в упражнениях с мячом,Спорт
Пушилин: почти 50 тыс. человек работают в здравоохранении ДНР,Общество
В Ялте частично обесточен центр города из-за аварии,ЧП
В Крыму из-за аварии отключили потребителей трех районов,ЧП
В Севастополе произошли отключения электроэнергии,ЧП
"В Севастополе 21 июня отменили отпуск бензина по QR-кодам на АЗС ""ТЭС""",Экономика
ТАСС: в Туве при нападении мужчины на детский лагерь пострадали 13 человек,ЧП
На Ставрополье отменили беспилотную опасность,ЧП
Путин присвоил Владимиру Конкину звание народного артиста России,Культура
В Нижегородской области ввели режим беспилотной опасности,ЧП
Святое дело: как и где создавали русскую атомную бомбу,Наука
Из-за перекрытия Крымского моста задержали 11 поездов,Транспорт
"Тренер Кнороз считает, что та способна в ближайшем будущем прыгнуть еще выше",Спорт
Bild: Германия договорилась с талибами активизировать депортации афганцев,Политика
"Квартиру тренера хоккейного клуба ""Металлург"" ограбил студент из Екатеринбурга",ЧП
Путин присвоил гендиректору НМИЦ радиологии Каприну звание Героя Труда,Общество
"""Русский стандарт"": доля дачников среди опрошенных россиян выросла за год до 66%",Общество
Движение транспорта по Крымскому мосту возобновили,Транспорт
В Рязанской области объявили беспилотную опасность,ЧП
"""По фашистским гадам… Огонь!"" Ко дню рождения ""Катюши"" и советской реактивной артиллерии",Культура
На Урале подросток без прав попал в ДТП,ЧП
Госдума с 2021 года приняла 25 законов о поддержке медиков,Политика
Аксенов заявил о прекращении отпуска топлива на АЗС в Крыму,Экономика
Spiegel: Германия расколота по бывшей границе ГДР и ФРГ в отношении к РФ,Политика
Politico: Республика Корея вошла в число самых быстрорастущих поставщиков оружия,Экономика
В Мордовии ввели режим беспилотной опасности,ЧП
Во Владимирской области объявили опасность атаки БПЛА,ЧП
ЦАХАЛ сообщил о ликвидации в Газе двух операторов финансовой сети ХАМАС,Конфликты
Названы самые популярные жанры кино у россиян,Культура
Над Севастополем сбили семь БПЛА,Конфликты
Делегация Пакистана прибыла в Швейцарию на переговоры США и Ирана,Политика
ТАСС: Грузия в мае более чем в три раза нарастила экспорт пива в Россию,Экономика
"Бегун Иванов рассказал, что в РФ ему приходится соревноваться с самим собой",Спорт
ВСУ за сутки 121 раз обстреляли отселенные районы Курской области,Конфликты
"ВСУ разбросали мины на трассе, ведущей из ДНР в Ростовскую область",Конфликты
Паромные перевозки через Керченскую переправу временно приостановили,Транспорт
В Ивановской области объявили опасность атаки БПЛА,ЧП
Мишустин поздравил медработников с профессиональным праздником,Общество
В Одессе фиксируются отключения света из-за аварийной ситуации на ТЭЦ,ЧП
В Карачаево-Черкесии возобновили поиски туриста из Москвы,ЧП
Губернатор Севастополя выразил соболезнования близким погибших от атаки ВСУ,Общество
Вошли в историю. Сборная Кюрасао набрала первое очко на ЧМ,Спорт
"Михалков назвал полезной маркировку контента, созданного нейросетями",Культура
Аэропорт Внуково обслуживает рейсы по согласованию,Транспорт
В ДР Конго число заболевших Эболой превысило 950,Наука
В Приморье автомобиль скорой помощи попал в ДТП при перевозке новорожденного,ЧП
"Кнороз заявила, что нацелена достичь результатов Исинбаевой и Сидоровой",Спорт
В Оренбуржье в ДТП с лошадью погибли два человека,ЧП
"Матвиенко: Россия всегда славилась искусными кузнецами, гончарами и ювелирами",Культура
Медведев: экс-президенты Украины в истории с орденами проявили себя как нацисты,Политика
Тысячи добровольцев объединились для поиска мальчика в Ингушетии,Общество
Медведев назвал считающих главу ОУН Мельника героем фашистами,Политика
В ДНР за сутки уничтожили 20 дронов ВСУ,Конфликты
В Челябинской области в ДТП погибли два человека,ЧП
"В МВД рассказали, как мошенники делают своих жертв соучастниками преступлений",Общество
В Белгородской области из-за атак ВСУ за сутки пострадали шесть человек,ЧП
Белорусские медики поблагодарили брянских за помощь пострадавшим при атаке ВСУ,Общество
Сборная Японии разгромила команду Туниса в 1000-м матче в истории ЧМ,Спорт
"В ""Ночном забеге"" в Москве приняли участие более 20 тыс. человек",Спорт
На Керченском полуострове из-за атаки украинских БПЛА погибли четыре человека,ЧП
"В Иране заявили, что нефтяной сектор станет крупнейшим для инвестиций",Экономика
"В Керченском проливе из-за атаки ВСУ парома ""Панагия"" погиб человек",ЧП
В Челябинской области завели дело после гибели трех человек при пожаре,ЧП
В Севастополе объявили воздушную тревогу,ЧП
МИД Филиппин сообщил о возвращении из РФ 24 задержанных филиппинских рабочих,Политика
Депутат Карчаа: атаками по Энергодару Киев добивается ядерного инцидента,Политика
В аэропорту Калуги ввели ограничения,Транспорт
Бегунья Тангара посетовала на полупустые трибуны на Кубке России в Чебоксарах,Спорт
ВС РФ поразили важные используемые ВСУ энергообъекты,Конфликты
Юрист Баранов рассказал о правах пассажиров при отмене или переносе рейса,Транспорт
"""Суточно.ру"": Ейск обогнал Анапу по стоимости аренды жилья для туристов",Экономика
"""OneTwoTrip для бизнеса"": спрос россиян на командировки в Армению вырос на 27%",Экономика
Роспотребнадзор: 7 тыс. организаций для детей работают в переуплотненном режиме,Общество
В аэропорту Сочи задержали 34 рейса,Транспорт
"""Север"" поразил с начала июня более 50 складов ВСУ в Харьковской области",Конфликты
Депутат Карчаа: бездействием МАГАТЭ дискредитировало себя как серьезную организацию,Политика
"Боевая машина ""Катюша""",Культура
В Туве после нападения мужчины на детский лагерь завели уголовное дело,ЧП
Командир Добрый: ВСУ дронами преследуют мирных жителей в Константиновке,Конфликты
На Урале в ДТП с грузовиком погибла женщина,ЧП
Прозоров: СБУ предупреждала Януковича о незаконной деятельности биолабораторий,Политика
В Туве задержали напавшего на детский лагерь человека,ЧП
Работающим по ГОСТу отелям рекомендовали дарить приветственное угощение питомцам,Общество
"Командир Чек: группировка ""Север"" уничтожила более 10 станций РЭБ ВСУ за неделю",Конфликты
За ночь над регионами России сбили 239 украинских БПЛА,Конфликты
"В парках ""Россия - моя история"" пройдут уроки мужества и выставки к 22 июня",Культура
"Автоэксперт рассказал, как спасти двигатель от перегрева в пробках в жару",Общество
ТАСС: ВСУ перебросили под Сумы подразделения тяжелой мехбригады,Конфликты
Король и королева Нидерландов станцевали с футболистами сборной Кюрасао,Спорт
Скотт Риттер: свидетельства атак ВСУ на гражданских на Запорожье безоговорочны,Политика
"В проекте Москвы рассказали, как обойти уловки мошенников",Общество
В Ростовской области уничтожили больше 10 БПЛА,Конфликты
Командир Добрый: жителей Константиновки предостерегают от разбора БПЛА ВСУ,Конфликты
В Сумской области снова произошел взрыв,ЧП
Маск предложил раздавать людям деньги напрямую из казначейства,Экономика
Юрист Шевцова рассказала о возможных проблемах при выезде детей за границу,Общество
Боец Кот помог эвакуировать раненых с ЛБС,Конфликты
Минпросвещения: летом в лагерях будут работать более 684 тыс. специалисты,Общество
"Командир Орел: ""Молния-2"" группировки ""Север"" уничтожила опорный пункт ВСУ",Конфликты
В Тульской области объявили опасность атаки БПЛА,ЧП
"NYT: у Украины по-прежнему нет баллистических ракет, аналогичных российским",Конфликты
Экс-премьер Польши призвал Зеленского вернуть оружие и танки вместо орденов,Политика
В Ялте в морскую навигацию число прогулочных теплоходов увеличат до 17,Транспорт
Желающий переехать в РФ пленный считает Зеленского и Сырского некомпетентными,Политика
Командир Вихрь: ВС РФ уничтожили совершавшую ротацию пехоту ВСУ на Сумщине,Конфликты
ТАСС: в Черниговскую область прибыли роты охраны ТЦК с запада Украины,Политика
"Украина до конца года должна выплатить МВФ около $1,5 млрд",Экономика
"В России выявили 30 новых вирусов, которые переносят комары и клещи",Наука
"Косачев: молодежь стран ЕС ""боится"" истории Второй мировой войны",Политика
"Группировка ""Север"" заявила о поражении 50 солдат ВСУ на Харьковщине и Сумщине",Конфликты
"Подполье: ""азовцы"" повязываются кровью и убивают пленных, чтобы стать своими",Конфликты
В Москве прогнозируют переменную облачность и до 25 градусов тепла,Погода
"Командир Пепел: ""Солнцепек"" уничтожил несколько укреплений ВСУ на Сумщине",Конфликты
В Красноярском крае площадь лесных пожаров превысила 168 тыс. га,ЧП
